time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
3.7,0.000238532,-0.00209004,-0.606658,-0.526573,-0.000111892,-0.00389718,-1.99031,-0.185535,-6.24889e-05,-0.00563964,1.38613,-0.337317,0.785329,0.00128907,0.344633,-0.000132955,0.683226,-0.92383,0.382799,-0.00152069,0.00062804
3.733,0.000199465,0.00170451,-0.625737,-0.591446,-0.000112865,0.00072884,-1.99729,-0.225401,-1.86426e-05,0.00831519,1.37472,-0.327762,0.785332,-0.00169148,0.33783,1.9467e-05,0.685368,-0.923918,0.382589,-0.00114079,0.00047387
3.766,-0.0002193,-0.00229278,-0.647179,-0.657628,-9.34992e-05,-0.00110405,-2.00626,-0.300187,3.11653e-05,-0.00799555,1.36397,-0.299943,0.785338,0.00386403,0.330202,9.93986e-06,0.687598,-0.923911,0.382604,-0.00145265,0.000627627
3.8,0.000194292,-0.00260446,-0.670664,-0.722417,-8.10425e-05,-0.00155943,-2.01755,-0.378185,8.53727e-05,-0.000670988,1.35395,-0.271112,0.785341,0.00134828,0.3219,-0.000110882,0.689626,-0.923833,0.382787,-0.00224139,0.000974953
3.833,0.000162906,-0.00590043,-0.696515,-0.749336,-5.37142e-05,0.0128672,-2.03175,-0.431133,0.00014994,0.0122743,1.3446,-0.256705,0.785342,-0.00181555,0.313085,3.34496e-05,0.691162,-0.923913,0.382585,-0.00323963,0.00141439
3.866,0.00016867,-0.00429191,-0.723072,-0.810841,-5.15157e-05,0.000332066,-2.0484,-0.543715,0.000187176,0.00100425,1.33654,-0.211877,0.785347,0.00142326,0.303694,4.31833e-05,0.691999,-0.92391,0.382581,-0.00429262,0.00187587
3.901,0.000125809,0.00501828,-0.750914,-0.835832,-4.23258e-05,-0.00163976,-2.06797,-0.607832,0.000215309,0.00673465,1.32955,-0.197079,0.78535,-0.0011793,0.294397,4.93564e-05,0.691856,-0.923908,0.382573,-0.00514004,0.00224616
3.933,0.000153975,0.00548071,-0.780151,-0.880806,-4.04968e-05,-0.00681296,-2.09075,-0.715503,0.000241203,-0.00524457,1.32389,-0.157942,0.785355,-0.00118379,0.285029,4.3608e-05,0.690667,-0.923899,0.382586,-0.00572585,0.00250049
3.966,0.00015145,0.00279498,-0.810928,-0.938274,-3.50119e-05,-0.0037111,-2.11686,-0.833415,0.000258278,-0.00448704,1.31956,-0.0971642,0.785364,0.00126324,0.275635,5.45986e-05,0.688337,-0.923903,0.382569,-0.00608557,0.0026628
4,0.000153565,0.00864402,-0.844189,-0.908918,-1.51173e-05,-0.00183444,-2.14672,-0.824505,0.000194885,-0.000139544,1.31628,-0.0728367,0.785382,-0.000309256,0.266214,5.73865e-05,0.684829,-0.923902,0.382569,-0.00624089,0.00273429
4.033,0.000209938,0.00122518,-0.873527,-0.87214,3.12935e-05,-0.00252813,-2.17403,-0.833844,0.000165538,-0.00324683,1.31497,-0.00521429,0.785403,0.0016009,0.256479,5.7387e-05,0.680146,-0.923898,0.382577,-0.00631161,0.00272283
4.066,0.000209938,0.00122518,-0.873527,-0.87214,3.12935e-05,-0.00252813,-2.17403,-0.833844,0.000165538,-0.00324683,1.31497,-0.00521429,0.785403,0.0016009,0.248298,8.6155e-05,0.675481,-0.923907,0.38255,-0.0066589,0.00283265
4.1,0.000254864,0.000892216,-0.903424,-0.808133,9.25948e-05,-0.00279138,-2.20341,-0.826169,0.000177551,-0.00263454,1.31545,0.0450443,0.785415,0.00127402,0.248298,8.6155e-05,0.675481,-0.923907,0.38255,-0.0066589,0.00283265
